appearance,    MOD + b,                          toggle bar
app,           MOD + Alt + Enter,                Canvas
app,           MOD + Alt + Space,                Brave browser
app,           MOD + F1,                         Youtube
app,           MOD + F4,                         Discord
app,           MOD + s,                          Spotify
app,           MOD + z,                          Zoom Video Conferencing
function,      XF86XK_AudioLowerVolume,          decrease volume
function,      XF86XK_AudioMute,                 mute/unmute
function,      XF86XK_AudioNext,                 Playerctl next
function,      XF86XK_AudioPlay,                 play/pause
function,      XF86XK_AudioPrev,                 Playerctl previous
function,      XF86XK_AudioRaiseVolume,          increase volume
gap,           MOD + -,                          decrease gap
gap,           MOD + =,                          increase gaps
gap,           MOD + Shift + -,                  remove gaps
layout,        MOD + Alt + . ,                   cycle layouts next
layout,        MOD + Alt + , ,                   cycle layouts previous
layout,        MOD + d,                          decrease master stack
layout,        MOD + f,                          floating layout
layout,        MOD + g,                          grid layout
layout,        MOD + i,                          increase master stack
layout,        MOD + m,                          monocle layout
layout,        MOD + Space,                      toggle between most recently used two layouts
layout,        MOD + t,                          tiling master/stack layout
music,         MOD + Shift + s,                  Playterctl info
screen,        MOD + . ,                         focus next monitor
screen,        MOD + , ,                         focus previous monitor
system,        Control + Shift + Escape,         logout/quit dwm
system,        MOD + Control + Alt + Space,      dashboard view
system,        MOD + F3,                         EWU VPN
system,        MOD + Shift + d,                  dual vertical monitor toggle
system,        MOD + Shift + Escape,             system menu
tag,           MOD + 1,                          tag 1
tag,           MOD + 2,                          tag 2
tag,           MOD + 3,                          tag 3
tag,           MOD + 4,                          tag 4
tag,           MOD + 5,                          tag 5
tag,           MOD + 6,                          tag 6
tag,           MOD + 7,                          tag 7
tag,           MOD + 8,                          tag 8
tag,           MOD + Alt + h,                    next tag
tag,           MOD + Alt + k,                    previous tag
tag,           MOD + Tab,                        go to previously navigated tag 
utility,       Alt + Print,                      quit Flameshot
utility,       Alt + Space,                      Rofi drun
utility,       MOD + 0,                          view
utility,       MOD + Alt + v,                    Greenclip clipboard
utility,       MOD + Control + Enter,            Alacritty terminal
utility,       MOD + Control + Shift + Enter,    Kitty terminal
utility,       MOD + Enter,                      Alacritty tabbed
utility,       MOD + F2,                         Pcmanfm file browser
utility,       MODKEY + Alt + s,                 show DWM key bindings
utility,       MODKEY + p,                       Dmenu run
utility,       MOD + Print,                      screenshot window
utility,       MOD + r,                          Rofi run
utility,       MOD + Shift + m,                  Pavucontrol
utility,       MOD + Shift + Print,              screenshot selection (Flameshot)
utility,       MOD + w,                          Rofi windows
utility,       Print,                            screenshot full screen
window,        MOD + Alt + j,                    focus next hidden window
window,        MOD + Alt + k,                    focus previous hidden window
window,        MOD + h,                          decrease window width
window,        MOD + j,                          focus next visible window
window,        MOD + k,                          focus previous visible window
window,        MOD + l,                          increase window width
window,        MOD + n,                          hidden window
window,        MOD + q,                          kill window
window,        MOD + Shift + 0,                  toggle show on every tag
window,        MOD + Shift + Enter,              move to master stack
window,        MOD + Shift + f,                  toggle fullscreen
window,        MOD + Shift + j,                  move window up stack
window,        MOD + Shift + k,                  move window down stack
window,        MOD + Shift + . ,                 move window to next monitor
window,        MOD + Shift + , ,                 move window to previous monitor
window,        MOD + Shift + n,                  show hidden window
window,        MOD + Shift + Space,              toggle floating
